Title,Rating,M.R.P(₹),Price(₹),Discount,URL
"ZEBRONICS GT740-4GD3 Graphics Card,pci_e_x16 Powered by NVIDIA,4GB GDDR3,128-Bit,Pcie3.0,Upto 2560 X 1440 @60Hz,Multiple Outputs-HDMI | DVI | VGA,Physx Support,Heatsink with Fan,High Efficiency",3.9 out of 5 stars,"15,499","2,999",81 %,https://www.amazon.in/ZEBRONICS-GT740-4GD3-Graphics-Powered-Multiple/dp/B0DGT7B4JX/ref=sr_1_1?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-1
"MSI GeForce RTX 3050 Ventus 2X E 6G OC PCI_E Graphic Card - Nvidia Geforce RTX 3050 Gpu, 6Gb GDDR6 96-Bit Memory, 14 Gbps, PCI Express Gen 4 x16Interface, Up to 1492 Mhz, Dual Fan",4.5 out of 5 stars,"33,999","18,319",46 %,https://www.amazon.in/MSI-GeForce-Ventus-PCI_E-Graphic/dp/B0BSN1QFXX/ref=sr_1_2?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-2
"MSI GeForce RTX 5070 12G Ventus 2X OC Graphic Card - NVIDIA GeForce RTX 5070 GPU, 12GB GDDR7 192-bit Memory, 28 Gbps, PCI Express Gen 5 Interface, Upto 2542 MHz, TORX Fan 5.0",4.5 out of 5 stars,"1,16,999","67,750",42 %,https://www.amazon.in/MSI-GeForce-5070-Ventus-Graphic/dp/B0DX7JJ87N/ref=sr_1_3?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-3
"MSI GeForce RTX 5060 8G Ventus 2X OC White Graphic Card - NVIDIA GeForce RTX 5060 GPU, 8GB GDDR7 128-bit Memory, 28 Gbps, PCI Express Gen 5 x16 Interface, Upto 2527 MHz, TORX Fan 5.0",4.8 out of 5 stars,"61,999","37,339",40 %,https://www.amazon.in/MSI-GeForce-Ventus-White-Graphic/dp/B0972D2R41/ref=sr_1_4?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-4
"MSI Pci_E_X16 Geforce RTX 5060 8G Shadow 2X OC Graphic Card - NVIDIA Geforce RTX 5060 GPU, 8GB GDDR7 128-Bit Memory, 28 Gbps, PCI Express Gen 5 X16 Interface, Upto 2527 Mhz, TORX Fan 5.0",4.6 out of 5 stars,"69,999","39,900",43 %,https://www.amazon.in/MSI-Pci_E_X16-Geforce-Shadow-Graphic/dp/B09729YMPT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-5
"ASRock AMD Radeon RX 6500XT Phantom Gaming pci_e_4 D OC 4GB GDDR6, AMD RDNA 2",4.3 out of 5 stars,"25,000","13,869",45 %,https://www.amazon.in/ASRock-Radeon-6500XT-Phantom-Gaming/dp/B09RHQNT5K/ref=sr_1_6?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-6
ZOTAC Gaming GeForce RTX 5050 Solo Graphics Card - Black | 8 GB | DLSS 4 | GDDR6 | 128 bit | Dual Fan | 2560 CUDA Cores | ZT-B50500H-10M,3.8 out of 5 stars,"41,070","24,905",39 %,https://www.amazon.in/ZOTAC-Gaming-GeForce-5050-Graphics/dp/B0FH9R8GQ2/ref=sr_1_7?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-7
"FRONTECH GT 740 Graphics Card | 128-Bit PCIe 3.0 GPU | High Performance Gaming Graphics Card with Single Cooling Fan | Desktop PC Graphics Solution (GRP-0005, Black)",3.8 out of 5 stars,"8,000","3,049",62 %,https://www.amazon.in/FRONTECH-Graphics-DDR3-Efficiency-GRP-0005/dp/B0CPYL3H9D/ref=sr_1_8?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-8
ASRock AMD pci_e_x8 Phantom Gaming Radeon RX550 gddr5 4G,3.6 out of 5 stars,"9,000","7,749",14 %,https://www.amazon.in/ASRock-Phantom-Gaming-RadeonTM-RX550/dp/B0DG1X8BM3/ref=sr_1_9?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-9
"Galax GeForce RTX 5070 EX Gamer 1-Click OC 12GB GDDR7 GPU Overclockable Graphics Card | DLSS 4, Ray Tracing, PCIe 5.0 | 192-bit, 28Gbps, 8K UHD | HDMI 2.1b & DP 2.1b | Triple Fan ARGB | VR Ready Black",No Rating Available,"1,10,000","69,879",36 %,https://www.amazon.in/Galax-GeForce-1-Click-Overclockable-Graphics/dp/B0F79NCKP7/ref=sr_1_10?dib=eyJ2IjoiMSJ9.1PCQxbuD9czwDnXjr0wVihecA3x9mmj_xC8CvAm3f7AW3D8L7r7-7olptBWToX2x8U0vlwd5PTtQrjYTrs0vZJBdWuZbUGatEXSG-eW_JaCz9Jvw3367Hag7I2maa6bZ1rbaeoo-pJVxjO0E2s9L4faU_CoP3sBsDlGjTAmkTSLaMalmaBsthXI_R00_dJR5yJuogpXgMaST4J27pfAPFryBaxTV8UIMOqrxwr8Nl40.3lJNXH2f59_FbRRWHJsl9-mQWZ38kMy-WOLHaSEbegY&dib_tag=se&keywords=GPU&qid=1763012152&sr=8-10
