Title,Rating,M.R.P(₹),Price(₹),Discount,URL
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue",4.6 out of 5 stars,"99,900","93,900",6 %,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTAzMDk3MjI1Mzk0ODM6MTc2MzAxMDkzNjpzcF9hdGY6MzAwNDk5NDUzMzQ3NDMyOjowOjo&url=%2FApple-MacBook-13-inch-10-core-Unified%2Fdp%2FB0DZDDQ429%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1763010936%26sr%3D8-1-spons%26aref%3DzsKjVxuqwq%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=zsKjVxuqwq&sp_cr=ZAZ
"Dell 15 Intel Core i5 13th Gen - 1334U, 16GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'21, Grey, 1.66kg, 120Hz 250 nits Display, 15 Month McAfee, Thin & Light Laptop",3.7 out of 5 stars,"72,598","52,748",27 %,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTAzMDk3MjI1Mzk0ODM6MTc2MzAxMDkzNjpzcF9hdGY6MzAwNzY0MDM2NDE4MjMyOjowOjo&url=%2FDell-Intel-Core-13th-Gen%2Fdp%2FB0D2Y1BLDT%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1763010936%26sr%3D8-2-spons%26aref%3D2wLeEr8099%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=2wLeEr8099&sp_cr=ZAZ
"HP 255 G10 Laptop for Home or Work, 16GB RAM, 512GB SSD, 15.6"" Full HD, Ryzen 3 7330U (Beats Intel i5-1135G7), HDMI, USB-C, Windows 11 Pro, Business and Fun Ready",4.6 out of 5 stars,"47,344","32,400",32 %,https://www.amazon.in/HP-G10-i5-1135G7-Windows-Business/dp/B0FDBLR2HT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-3
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",4.0 out of 5 stars,"38,000","26,990",29 %,https://www.amazon.in/Lenovo-V15-Lifetime-Validity-Warranty/dp/B0CL7CMTXS/ref=sr_1_4?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-4
"Lenovo V15 AMD Ryzen 7 7730U, 15.6"" FHD Laptop (250 nits, Anti-Glare), 16GB RAM, 512GB SSD, Windows 11, MS Office Lifetime, Iron Grey, 1-Year Warranty.",5.0 out of 5 stars,"1,28,999","42,490",67 %,https://www.amazon.in/Lenovo-Anti-Glare-Windows-Lifetime-Warranty/dp/B0FVFPCJ25/ref=sr_1_5?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-5
"Acer Aspire 3 12th Gen Intel Core i3-1215U Premium Laptop (16GB RAM/512GB SSD/Windows 11 Home) A325-51,15.6"" Full HD IPS Display, 54Whr Battery, Silver, 1.69 Kg",4.0 out of 5 stars,"50,999","29,990",41 %,https://www.amazon.in/Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CM6GVR56/ref=sr_1_6?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-6
"JioBook 11 with Lifetime Office | Android 4G Laptop Mediatek 8788 (JioOS) | Octa-core | 4GB RAM | 64 eMMC Storage | Thin and Light Laptop (11.6 inch, 990 Grams) | Dual Band WiFi + SIM | Blue",3.0 out of 5 stars,"25,000","12,990",48 %,https://www.amazon.in/JioBook-Octa-Core-LPDDR4-JioOS-Expandable/dp/B0CKX9PY1H/ref=sr_1_7?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-7
"acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop",3.9 out of 5 stars,"46,990","29,890",36 %,https://www.amazon.in/Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-8
"HP Professional 14 (2025), Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD/Backlit + FingerPrint/Silver/1.4 Kg/MSO 2021",5.0 out of 5 stars,"75,000","52,700",30 %,https://www.amazon.in/HP-Professional-14-Intel-1334U/dp/B0FVJV2XQ4/ref=sr_1_9?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-9
"Walker Best Student &Office Work Laptop|Thin & Light|14.1"" 1920 * 1080 Resolution FHD IPS Display |4GB RAM,128GB SSD|Celeron Processor N4020 (Gemini Lake)| Windows 11 Home | Silver",3.2 out of 5 stars,"30,000","12,990",57 %,https://www.amazon.in/Walker-Display-Resolution-Graphics-Mini-HDMI/dp/B0CGVLLWT3/ref=sr_1_10?dib=eyJ2IjoiMSJ9.p0f--K2Apn266oESPmWpnRHRsxc69Le_XIUS6DOHEgkxodTS262T-OWU0kvC1WDmxXO9zUkd2Nv-BrHUYllocXNVqqbm6-4koMLaZQtomdzjhe7ISS_Iz_KrZWZfJMBdBYvRRnwUzDj1PgOz5LY2IfXoAPaoqzR5dcT26unbxhv3mqrZs9_fKadmSGaxYGh_u3pyn5q2x24cFj_KhZ_rMoXM8Ivq1d8uxaexoxeu7Cc.an6l0O3X-xZk3Fs2HvIaCE2O5v81Haa4bGY14QWPMpU&dib_tag=se&keywords=Laptop&qid=1763010936&sr=8-10
