Title,Rating,M.R.P(₹),Price(₹),Discount,URL
"EvoFox Ronin Wired Mechanical Gaming Keyboard | 9 Layer Gasket Sound Dampening Design, Outemu Red Silent Switches, Hot Swappable, Per-Key RGB, nKey Rollover, Volume Knob | Windows Software (White)",4.4 out of 5 stars,"3,999","2,899",28 %,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTgzMDgxNTc3OTQ3MzU3OjE3NjMwMTA0MzI6c3BfYXRmOjMwMDcyNjg1OTI4MDczMjo6MDo6&url=%2FEvoFox-Wired-Mechanical-Dampening-Swappable%2Fdp%2FB0F66GZ58Z%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0%26dib_tag%3Dse%26keywords%3Dmechanical%2Bkeyboard%26qid%3D1763010432%26sr%3D8-1-spons%26aref%3Djx4UOFqPVu%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=jx4UOFqPVu&sp_cr=ZAZ
"Redragon K630 Dragonborn 60% Wired Pink Single Lighting Gaming Keyboard, 61 Keys Compact Mechanical Keyboard with Brown Switch, Pro Driver Support, Black",4.3 out of 5 stars,"2,490","1,990",20 %,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTgzMDgxNTc3OTQ3MzU3OjE3NjMwMTA0MzI6c3BfYXRmOjMwMDU2MTgwODgzMTkzMjo6MDo6&url=%2FRedragon-K630-Dragonborn-Lighting-Mechanical%2Fdp%2FB092HXGKV4%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0%26dib_tag%3Dse%26keywords%3Dmechanical%2Bkeyboard%26qid%3D1763010432%26sr%3D8-2-spons%26aref%3D0IAw1IxILB%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=0IAw1IxILB&sp_cr=ZAZ
"EvoFox Fireblade TKL Semi-Mechanical Gaming Keyboard with Rainbow Backlit& Breathing Effect, Floating Keycaps, 19 Anti-Ghosting & 12 Multimedia Keys, Windows Lock Key, Braided Cable (Black)",4.0 out of 5 stars,"1,299",799,38 %,https://www.amazon.in/AMKETTE-Amkette-Fireblade-Keyboard-Anti-Ghosting/dp/B085366TJW/ref=sr_1_3?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-3
"Ant Esports MK1200 Mini 60% Wired Mechanical Gaming Keyboard – Red Switch, Rainbow Backlit, 61 Keys, Anti-Ghosting, USB, Compact TKL – Compatible with Windows, macOS, PS5, Xbox, Laptop & PC (White)",3.9 out of 5 stars,"4,199","1,199",71 %,https://www.amazon.in/Ant-Esports-MK1200-Mechanical-Keyboard/dp/B0FBRKD1BK/ref=sr_1_4?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-4
"EvoFox Katana X2 TKL Mechanical Gaming Keyboard | 3‑Pin Replaceable Clicky Blue Switches, Dynamic Backlighting, All Keys Anti‑Ghosting, Volume Knob, Copilot, Xbox Gamebar, Screenshot & More (Black)",4.3 out of 5 stars,"1,79,900","1,799",45 %,https://www.amazon.in/EvoFox-Backlighting-Replaceable-Anti-Ghosting-Multifunction/dp/B0DDV1GWP7/ref=sr_1_5?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-5
"Ant Esports MK700 V2 Membrane TKL Wired Gaming Keyboard, 87 UV Coated Mechanical feel Keys Cool RGB Backlight Waterproof Keyboard for PC Laptop Mobile Tablets Gaming, Design and Work Mercury White",4.1 out of 5 stars,"1,999",549,73 %,https://www.amazon.in/Ant-Esports-MK700-V2-Mechanical/dp/B0DFCW1ZNL/ref=sr_1_6?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-6
"HP Gk400F Mechanical USB Gaming Keyboard,Dust & Spill Resistant,RGB Backlit Keys,Metal Panel,Full-Sized Keyboard Design",4.2 out of 5 stars,"2,499","1,999",20 %,https://www.amazon.in/HP-Mechanical-Keyboard-Resistant-Full-Sized/dp/B0CW2VHDS4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-7
"Ant Esports Scorpion MK30 Wired Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Red Switch, Durable Abs Keycaps/Anti-Ghosting Keyboard for PC Mac Xbox Gamer",4.0 out of 5 stars,"3,999","1,199",70 %,https://www.amazon.in/Ant-Esports-Mechanical-Ultra-Slim-Anti-Ghosting/dp/B0FLXRCTVR/ref=sr_1_8?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-8
"Redragon K617 Fizz 60% Wired RGB Gaming Keyboard, 61 Keys Compact Mechanical Keyboard w/White and Grey Color Keycaps, Linear Red Switch, Pro Driver/Software Supported",4.4 out of 5 stars,"3,499","2,790",20 %,https://www.amazon.in/Redragon-K617-Keyboard-Mechanical-Supported/dp/B09BVCVTBC/ref=sr_1_9?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-9
"Ant Esports MK3400 V3 Pro Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch, Durable Keycaps/Anti-Ghosting/Spill-Resistant Mechanical Keyboard for PC",3.9 out of 5 stars,"3,999","1,199",70 %,https://www.amazon.in/Ant-Esports-MK3400V2-Mechanical-Keyboard/dp/B08B5ZNXK2/ref=sr_1_10?dib=eyJ2IjoiMSJ9.tY1cLPn_HEPPCgy3Dymqp0Zni0QEvDcfa9xdX8bfFuyQdhy_GViIibsOevGS-FXDmOss0hue81ycp5KaGevP2ZrNUqqiAtVD_CP3cSf3DH5a_xRmW84BXny23zC8vBHcrexRtE6P_En5anFUhz3OsRoNjA0xXX_uK9Ic4NKYEcGUElMSY0eb27LHoZEgCGv8DOJ9sGaw6ZgVmBdjAHEIXwdTLgxoe5kreb2tiJEyXoc.PT13RgWJLaxHRa5zip8fZ-5--NInQX0uQyLjhe1F7H0&dib_tag=se&keywords=mechanical+keyboard&qid=1763010432&sr=8-10
